前点偏差X均值,前点偏差Y均值,前盾俯仰角均值,前盾滚动角均值,主液压油箱温度均值,液压油箱温度预警设置均值,液压油箱温度报警设置均值,温度误差设置均值,左侧护盾压力均值,右侧护盾压力均值,顶护盾压力均值,左侧楔形油缸压力均值,右侧楔形油缸压力均值,左侧扭矩油缸伸出压力均值,左侧扭矩油缸回收压力均值,右侧扭矩油缸伸出压力均值,右侧扭矩油缸回收压力均值,左侧后支撑压力均值,右侧后支撑压力均值,撑靴压力均值,左侧护盾位移均值,右侧护盾位移均值,左侧扭矩油缸位移均值,右侧扭矩油缸位移均值,内循环水罐温度均值,内循环水罐液位均值,冷水箱温度均值,冷水箱液位均值,热水箱温度均值,热水箱液位均值,刀盘喷水压力均值,污水箱压力检测均值,TBM外水进水温度均值,TBM主冷却器进水温度均值,暖水泵压力均值,冷水泵压力均值,内水泵压力均值,变频器1温度均值,变频器2温度均值,暖水箱自动排水温度设置均值,二次风机频率设置均值,齿轮油温度均值,EP2泵 出口压力检测均值,EP2 内密封压力均值,EP2 外密封压力均值,齿轮润滑油箱压力液位1均值,齿轮润滑油箱压力液位2均值,泵1润滑压力均值,泵2润滑压力均值,泵3润滑压力均值,泵4润滑压力均值,齿轮密封压力均值,齿轮回油泵出口压力均值,主驱动加压压力均值,润滑泵电机电流均值,外密封腔流量均值,外密封流量均值,齿轮润滑流量1均值,齿轮润滑流量2均值,前部小齿轮轴承润滑流量1均值,前部小齿轮轴承润滑流量2均值,后部小齿轮轴承润滑流量1均值,后部小齿轮轴承润滑流量2均值,齿轮密封外密封压力均值,齿轮密封内密封压力均值,齿轮油温度预警设置均值,齿轮油温度报警设置均值,主驱动1#电机电流均值,主驱动2#电机电流均值,主驱动3#电机电流均值,主驱动4#电机电流均值,主驱动5#电机电流均值,主驱动6#电机电流均值,主驱动7#电机电流均值,主驱动8#电机电流均值,主驱动9#电机电流均值,主驱动10#电机电流均值,主驱动1#电机扭矩均值,主驱动2#电机扭矩均值,主驱动3#电机扭矩均值,主驱动4#电机扭矩均值,主驱动5#电机扭矩均值,主驱动6#电机扭矩均值,主驱动7#电机扭矩均值,主驱动8#电机扭矩均值,主驱动9#电机扭矩均值,主驱动10#电机扭矩均值,主驱动1#电机输出频率均值,主驱动2#电机输出频率均值,主驱动3#电机输出频率均值,主驱动4#电机输出频率均值,主驱动5#电机输出频率均值,主驱动6#电机输出频率均值,主驱动7#电机输出频率均值,主驱动8#电机输出频率均值,主驱动9#电机输出频率均值,主驱动10#电机输出频率均值,主驱动1#电机输出功率均值,主驱动2#电机输出功率均值,主驱动3#电机输出功率均值,主驱动4#电机输出功率均值,主驱动5#电机输出功率均值,主驱动6#电机输出功率均值,主驱动7#电机输出功率均值,主驱动8#电机输出功率均值,主驱动9#电机输出功率均值,主驱动10#电机输出功率均值,减速机1#温度均值,减速机2#温度均值,减速机3#温度均值,减速机4#温度均值,减速机5#温度均值,减速机6#温度均值,减速机7#温度均值,减速机8#温度均值,减速机9#温度均值,减速机10#温度均值,刀盘转速均值,刀盘转速电位器设定值均值,刀盘刹车压力均值,刀盘扭矩均值,刀盘给定转速显示值均值,刀盘速度给定均值,刀盘功率均值,刀盘运行时间均值,刀盘运行时间.1均值,给定频率均值,变频柜回水温度报警值均值,变频柜回水温度停机值均值,减速机温度报警值均值,减速机温度停机值均值,刀盘最低转速设置均值,左撑靴小腔压力均值,右撑靴小腔压力均值,推进压力均值,贯入度均值,总推进力均值,推进速度均值,推进位移均值,推进泵电机电流均值,撑靴泵电机电流均值,换步泵电机电流均值,左推进油缸行程检测均值,右推进油缸行程检测均值,左撑靴油缸行程检测均值,右撑靴油缸行程检测均值,推进速度电位器设定值均值,推进泵压力均值,控制油路2压力检测均值,辅助系统压力检测均值,推进速度给定百分比均值,左撑靴俯仰角均值,左撑靴滚动角均值,右撑靴俯仰角均值,右撑靴滚动角均值,控制泵压力均值,控制油路1 压力均值,换步泵1 压力均值,撑靴泵压力均值,换步泵2 压力均值,钢拱架泵压力均值,主机皮带机泵压力均值,左倾最大滚动角设置均值,右倾最大滚动角设置均值,左撑靴最大滚动角设置均值,左撑靴最大俯仰角设置均值,右撑靴最大滚动角设置均值,右撑靴最大俯仰角设置均值,撑靴压力设定均值,推进位移最大允许偏差设置均值,贯入度设置均值,推进给定速度百分比均值,推进速度.1均值,刀盘CH4气体浓度均值,刀盘H2S浓度均值,控制室O2浓度均值,控制室CO浓度均值,控制室CO2浓度均值,设备桥CH4浓度均值,拖车尾部CH4浓度均值,左拖拉油缸压力均值,右拖拉油缸压力均值,拖拉油缸最大允许压力设置均值,拖拉油缸最小允许压力设置均值,机械手泵1 电机电流均值,机械手泵2 电机电流均值,主机皮带机转速均值,桥架皮带机转速均值,转渣皮带机转速均值,主机皮带机泵电机电流均值,主皮带机转速电位器设定值均值,桥架皮带机转速电位器设定值均值,转渣皮带机转速电位器设定值均值,围岩等级
7.724225521,-17.74118233,0.397000045,-0.095000021,31.97714014,50,60,2,10.99207576,37.68492738,41.95702135,75.84184205,106.0013289,64.66842024,4.959662612,30.5379366,11.86715035,25.47069805,41.60048796,313.3127617,162.8711623,160.3775618,7.048239075,-0.183273618,23.17941099,0,26.48081547,1808.876476,28.6972938,1854.370572,8.654743034,679.4525847,8.080902326,22.68056558,16,3.677197928,5.473402538,33.76302829,30.43172153,45,50,26.58724539,187.593824,0.035765035,0,597.054854,603.2947264,47.64083696,63.20114087,63.06917799,53.35529981,8.624869602,2.258359695,0.016785147,38.85519889,85.37346233,103.3568321,13.38081061,19.0474168,32.00095434,25.35970278,30.41200032,22.25545005,0.022179822,0.008004446,50,60,0,203.1237627,204.4752474,203.7346534,199.8584158,207.0990096,205.3148515,206.5871292,205.6772283,203.4881187,0,1109.180321,1103.048198,1109.513592,1143.006941,1101.381856,1100.64867,1099.282273,1102.115041,1112.313032,0,73.98514874,73.98910908,73.98316857,73.97821815,73.98811899,73.98811899,73.9940595,73.9940595,73.98019832,0,171.2227723,170.2524752,171.2227723,176.490099,170.2871287,169.8712871,169.9059406,170.2871287,171.7425743,24.95616743,23.89895906,26.54831881,25.75192089,25.85555756,21.60795827,21.3642655,22.36059548,22.95408885,23.65125513,5.874543332,7740.645527,53.23245428,2496.354045,5.8828931,7740.609733,1541.178218,1238,34.89108911,74.31022969,45,55,65,80,1,69.73393967,74.18537419,209.2165727,9.936841814,16431.86978,58.58161428,263.3809558,65.81004148,32.67534637,0.486979157,214.9899238,236.6087955,435.1530284,426.0444717,2490.664123,243.0105789,115.5023847,229.1546341,48.87259081,-1.531172641,0.333284619,-1.839500692,1.24246898,130.7401948,24.14526641,0.255689634,321.6973792,0.091962322,196.8271572,120.9470683,5,5,5,5,5,5,300,45,15,24.90664118,3.518826607,0.592848998,0,20.66686643,0.131784014,0.001998247,0,0.524736725,75.0297943,24.25241223,250,0,35.92182073,0,3.000496694,2.676479512,2.756053405,73.1625929,1.865009843,3,3,5
10.78311253,-24.23548126,0.361000031,-0.122000024,35.18461577,50,60,2,11.75170395,73.50367603,40.38454317,69.91946369,87.47870021,68.34343338,4.793863592,22.65062362,0,0,12.58305459,315.0334362,162.9548248,159.5147035,6.783656368,-1.044882033,28.49707158,0,28.65772261,1601.704251,30.0358273,1663.754801,8.734085639,532.9780745,8.763308684,25.7220732,16,3.610387727,5.496902881,21.91977568,19.52934078,45,50,25.83007811,189.9389955,0.001253858,2.68E-05,576.0676614,577.5941835,54.52610595,68.30672886,63.38088219,61.83656703,7.870906265,1.172378687,0.050550656,41.52360916,82.68444149,88.57778069,13.30394876,19.0423419,30.69550571,24.44143959,35.99298368,17.82991008,0.000771605,0.000605496,50,60,0,142.4101851,143.2249997,142.8629629,140.8962963,145.0731483,143.2712971,144.4148143,144.1379633,143.0277781,0,718.4539987,714.4023302,718.3916691,734.8476647,713.6854929,702.683663,711.5973372,712.5323331,718.5163314,0,72.60277621,72.60462803,72.59814665,72.59073936,72.6018503,72.60462803,72.60277621,72.60370212,72.59907256,0,108.7592593,108.1435185,108.8240741,111.2546296,107.9814815,106.4259259,107.6898148,107.9814815,108.8888889,26.3729144,23.66469477,26.35767628,26.16815737,25.73466575,28.05289653,21.74921248,22.05782087,22.86090632,25.66333234,5.764513757,7582.940859,53.10362025,1611.956617,5.763034706,7582.934163,975.9166667,1238,42.16666667,72.79622855,45,55,65,80,1,34.5378942,44.80117777,187.799131,6.857030714,14749.74391,39.51397027,379.6229355,64.31756207,34.63272497,0.477430552,329.5457148,351.2211835,434.8524769,426.5287792,1564.050579,221.6654892,114.9482373,229.5958724,32.92830802,-1.562329217,0.325986354,-1.850371604,1.229812353,130.9973526,24.09765131,0.186471196,323.354443,0.078500087,192.0388056,115.4323673,5,5,5,5,5,5,300,45,15,15.64050582,2.370838158,0.630344971,0,20.64759858,0.773430146,0.001987619,0,0.523914403,70.71169783,23.34694363,250,0,38.61267966,0,3.134023238,2.679544449,2.757019341,70.73610687,1.744920296,3,3,5
-11.06474495,-23.6768055,0.316000044,0.039999992,37.93548783,50,60,2,12.32121241,64.15196032,40.85847242,57.11181732,95.49088987,79.78585276,10.02524523,74.16552516,124.6219848,0,7.597477034,316.5867618,163.3388383,156.6958083,4.276251557,-10.05514421,27.00180367,0,27.09989161,1983.542327,28.21017955,2071.319716,8.733631711,379.3283299,8.257610689,24.52054514,15.99989913,3.687186751,5.520339576,32.91018913,24.54440351,45,50,27.53325557,187.9028364,0.025574457,0.001645855,568.9176042,566.0394598,50.57965917,68.03939567,63.07342736,55.92135988,8.085028294,4.057482792,0.024102428,40.56262522,87.13981344,93.15523228,13.35087026,19.03595674,33.89855733,24.78872117,36.32867475,18.30979331,0.025999193,0.006259557,50,60,0,170.5568801,171.7660556,170.7899083,167.509174,172.924771,171.5853213,172.672477,172.1321098,170.7100921,0,909.0670418,903.7864385,908.0788669,931.2085319,899.5866554,885.6285664,897.7338206,898.6602363,908.9435162,0,75.27614852,75.28348786,75.27890064,75.26880891,75.27890071,75.2908272,75.27890078,75.27706573,75.27156116,0,142.7614679,141.9266055,142.6651376,146.0045872,141.3486239,139.2293578,141.0275229,141.412844,142.6651376,24.72514905,25.13694439,26.38016165,23.12903497,24.38960705,25.78128328,21.48245029,22.46186657,24.62785773,24.87297734,5.977007218,7869.328452,52.03349969,2036.8685,5.9806918,7869.321813,1279.105505,1239,7.431192661,75.54558192,45,55,65,80,1,59.53016183,61.38572994,175.8510655,8.666780747,13811.34284,51.80411859,1603.839688,61.57860737,33.68522217,0.477430552,1526.229676,1552.686219,438.0113677,426.1188746,1926.817873,210.3181814,114.9878964,229.529816,43.17009847,-1.591843319,0.321183878,-1.852913706,1.217003289,130.533789,24.14203231,0.191795152,323.2739762,0.071807043,197.062947,115.1431891,5,5,5,5,5,5,300,45,15,19.26817869,3.108247053,0.632094431,0,20.66654953,0,0.002027454,0,0.524184779,69.35378951,24.01341645,250,0,36.88581085,0,3.145723715,2.677847637,2.757173009,70.74819708,1.489370279,3,3,5
3.698000669,-16.88222885,0.334000021,0.138999999,38.83008753,50,60,2,12.1671021,68.83451409,40.9763763,56.17479713,82.12722287,69.06671105,6.200724248,58.77466625,97.02268378,0,6.192129626,318.0728899,163.4785508,156.5885931,3.715321154,-11.89727224,28.16675549,0,28.1810079,1872.1357,29.78999057,1947.488281,8.687694809,763.8314124,8.398724056,25.29973699,16,3.655602533,5.487457596,34.1064543,30.41156,45,50,27.43897136,185.1777374,0.022472039,0.001501192,568.3828149,561.3576775,47.12590529,62.94828056,62.96468187,53.0467893,8.583508038,2.132517406,0.024374742,38.84744622,88.37702647,100.0586164,13.3977935,19.0491699,32.09934548,26.10717581,32.60215603,22.04448671,0.023125229,0.021744362,50,60,0,162.7158407,163.886138,163.2940589,160.4485152,165.4306925,163.9950495,165.1762375,164.4861382,163.1801975,0,886.2244752,881.7586942,886.2911262,908.0534795,879.0592265,863.7955812,878.1594021,878.9259196,887.9241345,0,71.86039817,71.86336835,71.87029901,71.85346751,71.86336842,71.87524943,71.87326926,71.86633867,71.86930892,0,132.7920792,132.1336634,132.9306931,136.0841584,131.8910891,129.6732673,131.7871287,131.960396,132.9653465,25.98358152,26.76547625,28.32826267,24.71172235,25.90275621,26.67451624,22.88457989,24.15085251,27.89713546,26.44009843,5.706169912,7512.455276,54.41391206,1988.307174,5.709471358,7512.458859,1192.252475,1239,21.36633663,72.11963895,45,55,65,80,1,72.11751141,70.23514867,160.8124485,8.634675616,12630.20983,49.27100576,1842.188855,58.39843369,32.89496461,0.477430552,1763.486444,1788.820107,437.9515985,426.1312407,2077.732516,195.7728844,114.9259713,230.1543298,41.05917137,-1.601053974,0.314580601,-1.869395572,1.219822147,130.7228664,24.14010969,0.189224655,324.5843077,0.091962323,197.0499011,120.6537065,5,5,5,5,5,5,300,45,15,20.77732526,2.956260287,0.663826145,0,20.64376807,0.343587424,0.001989294,0,0.525846855,69.62378534,23.74676274,250,0,37.72167278,0,3.026001007,2.677638361,2.756046309,72.13569143,1.593513682,3,3,5
3.698007107,-16.88222885,0.334000021,0.138999999,32.63602395,50,60,2,13.52791524,60.06930119,41.203847,56.12981898,76.9810575,53.62864402,4.995330232,66.42687679,63.29070395,26.98979536,40.27562906,312.2451692,163.8259879,156.7179408,1.997151743,-14.78905313,29.40158625,0,29.39109324,1829.03589,30.9796281,1906.669339,8.739170783,711.230789,8.534626696,26.23640623,16,3.637737208,5.508319576,34.52773342,30.97601111,45,50,27.3073301,183.2346383,0.027124588,0.002801843,581.50313,573.4480379,46.57000581,62.1321149,62.94623913,52.85025886,8.427694963,3.20109095,0.042097918,38.84672388,97.06455071,99.64039823,13.23566486,19.03759297,33.38456628,25.87922971,36.79004271,18.1639,0.01453635,0.023526311,50,60,0,170.821782,171.6673264,171.1267319,168.2554459,173.4673266,171.8584159,172.7247524,172.4584153,171.0138616,0,859.2298182,854.8640245,859.0631914,883.0251117,852.2645353,835.2012487,849.7650247,853.1976834,860.3962534,0,73.74455397,73.74257358,73.74158349,73.73663285,73.74554383,73.747524,73.74554383,73.74851408,73.73762301,0,132.029703,131.4059406,131.960396,135.6336634,131.2673267,128.3217822,130.539604,131.1287129,132.5148515,26.7644377,27.72381086,29.25454661,25.72764146,26.7279103,27.18055989,23.94200361,25.17640439,28.91989394,27.32523588,5.855230482,7707.753486,52.77171851,1927.505298,5.85789799,7707.782115,1184.940594,1239,27.89108911,73.99450117,45,55,65,80,1,72.56700927,74.56425302,142.2008212,8.130810067,10619.77334,47.56826994,140.5863832,59.47593085,57.46448604,0.486979157,113.178823,96.70653965,435.9106457,426.3750375,2360.681377,165.6853058,115.4356332,229.469054,39.64022289,-1.437086752,0.352812309,-2.212657124,1.026676272,130.6965063,24.18336908,0.229332827,321.6947994,0.135794831,197.178387,115.9249516,5,5,5,5,5,5,300,45,15,23.60681381,2.85409613,0.64173084,0,20.65914018,1.564970978,0.002025105,0,0.525094831,78.19576173,117.3559547,250,0,42.19300219,0,3.124494909,2.677784627,2.756623946,71.50671357,1.887036746,3,3,5
-10.34889328,-7.188144934,0.432643604,-0.028079224,37.16695899,50,60,2,44.87345907,28.40718968,42.09654024,53.44758436,59.24608076,76.40951606,5.293133478,35.53283727,40.4546834,0.003724331,13.98514842,315.7077972,166.2546627,152.3258443,-9.175669755,-9.540551516,30.60998792,0,30.63022164,1471.167108,32.0972139,1511.584456,8.645059841,418.3746673,8.558869834,27.24967466,14.26455359,3.56352563,5.486294458,33.57663236,30.38824725,45,50,27.96302756,192.8618904,0.034366978,0.000418271,576.6557714,556.0282617,46.65950454,62.59135358,62.94863888,51.62459644,8.707091388,2.398577872,0.017566003,38.84513474,75.0320766,103.100199,13.43772418,19.02395339,32.42416992,25.35440832,38.07095752,17.40657744,0.016054731,0.024001879,50,60,0,173.6118818,174.7415844,174.1415843,171.2554459,177.1940596,176.0267331,176.7207927,175.9099015,174.400989,0,916.8517402,914.1855946,916.8517444,945.3460971,909.7864767,910.3530279,908.2867734,912.9191931,920.9509308,0,75.4079222,75.40495195,75.40396186,75.40000153,75.4079222,75.40594203,75.40891228,75.40396186,75.40495195,0,144.4356436,144.019802,144.2277228,148.8019802,143.2227723,143.2574257,143.049505,143.8118812,144.8514851,28.25667644,28.65310272,30.44640398,27.141132,28.7631496,28.86771735,25.31237823,24.89288974,26.16260011,28.64382783,5.987197036,7881.257,52.17989387,2064.788896,5.989741429,7881.267742,1299.678218,1240,24.02970297,75.659893,45,55,65,80,1,49.47587234,57.74360015,127.0061256,10.22387316,9975.061214,61.21215095,541.5400131,60.54015724,33.31396892,0.486128291,496.8182856,499.8513848,419.0387839,427.3694893,2550.457628,160.8883675,115.05575,228.3086391,51.01012326,-1.114541797,0.471056244,-1.969200503,1.901431981,130.7570991,24.14856097,0.214721994,323.1037438,0.119751559,196.9153945,118.2222911,5,5,5,5,5,5,300,45,15,25.50457682,3.672728961,0.615660528,0,20.66745722,1.663826894,0.002023314,0,0.526025908,71.79578626,24.37603144,250,0,37.26631572,0,3.082005333,2.676835062,2.755775209,72.68638996,1.931947897,3,3,5
-1.800754324,-12.75075575,0.431039661,-0.014801994,39.08642132,50,60,2,58.91475863,28.88676883,41.9912563,53.49313592,58.87121284,67.22989964,29.49068349,99.09856868,138.2852603,0,10.25523125,322.5671532,165.7426575,152.3499105,-19.68958502,-20.14841099,25.81609407,0,26.92605202,1916.627313,28.7101498,1982.802759,8.709318813,465.4253202,8.043229915,23.71614439,13.8607616,3.675633716,5.504830167,33.90175912,31.18801153,45,50,28.789435,186.9899106,0.037014118,0.001804868,613.6332739,629.8149988,45.20191593,61.061262,62.85929085,49.82144713,9.196590244,4.927851106,0.005790242,38.00613993,97.69187781,112.975841,13.51155173,19.01446486,32.91646072,25.82687134,37.24778317,18.03838434,0.022277228,0.03169119,50,60,0,156.7425746,157.6633663,157.2366333,154.3930687,158.9950491,158.0336627,158.4851479,157.7871284,156.8039604,0,840.5001934,837.7340777,840.5335258,863.3290043,833.6348889,837.5674426,833.2016408,836.0010859,842.0332249,0,70.86732876,70.86930892,70.87128902,70.85643768,70.86633867,70.86435843,70.86435851,70.85940801,70.85643783,0,124.1980198,123.8514851,124.4059406,127.6287129,123.2623762,123.8861386,123.3316832,123.8514851,124.2673267,24.90026676,25.8197826,27.28290752,24.82370278,25.24501812,24.8541066,21.49683741,15.78063404,18.25434162,26.38032989,5.626569044,7410.386786,50.17292393,1892.011141,5.631904541,7410.397533,1118.544554,1240,46.45544554,71.13984839,45,55,65,80,1,66.56840205,68.99824116,111.8347772,11.15647977,8783.503466,62.74031656,1593.415207,58.95932162,32.67468462,0.484332019,1526.316522,1529.4342,417.9597253,431.0958717,2482.073114,146.863684,115.4511024,229.7069803,52.32906206,-1.073248247,0.496958223,-1.956029259,1.896443537,130.5247594,24.1340935,0.20140035,324.1014338,0.113305602,195.7158732,117.3738588,5,5,5,5,5,5,300,45,15,24.82073129,3.76769262,0.659600459,0,20.66290032,1.411216994,0.002048382,0,0.526992794,71.69551615,24.20428255,250,0,37.03015832,0,3.094322474,2.676364785,2.756797578,73.00376431,1.64956338,3,3,5
4.237200194,-9.892048543,0.460356474,-0.014891103,34.40576153,50,60,2,36.02058116,30.64436656,41.08209009,53.26423305,57.45124065,70.96683646,41.81420748,53.44629497,55.46187458,0.720228271,14.2709193,318.9990999,166.2812353,152.0161334,-0.550674741,-0.378219529,22.13176395,0,22.22802357,1914.307656,23.33962888,1965.81844,8.730662148,400.3686022,8.034670688,20.92450725,10.28146205,3.707221761,5.48477035,30.7138037,25.73487484,45,50,28.23375783,188.3508657,0.031628164,0.003048221,612.4602519,611.1677276,53.85405195,69.67227354,63.21714847,57.50885946,8.347013096,3.88244865,0.01743515,41.56095826,87.08435303,96.27564375,13.43224072,19.02230316,31.6036772,25.01584946,34.83176109,18.79809662,0.015945865,0.022477769,50,60,0,159.5079208,160.3881192,159.8178227,157.0376235,162.0564355,160.6118812,161.6049498,161.0118807,159.471287,0,895.38933,891.8233661,895.4893037,916.6851088,889.1238989,878.8259404,888.3240586,891.2901382,896.8890302,0,66.88415867,66.88514883,66.88613899,66.87821824,66.88811916,66.88712923,66.88217866,66.89306988,66.88514913,0,124.6831683,124.2326733,124.6138614,127.6980198,123.990099,122.3267327,123.8514851,124.1633663,124.9950495,21.39406012,21.26642996,22.75394206,20.14325793,21.58328474,21.48326489,18.18529835,13.52290177,15.89949038,21.57601492,5.310785733,6988.05492,52.36175552,2011.480956,5.310929681,6988.037018,1120.207921,1240,56.00990099,67.08542829,45,55,65,80,1,70.32080766,74.52042064,108.4760044,12.65136334,8519.70546,66.94265596,227.0944356,57.16354287,33.63635307,0.477430552,188.5143046,193.9205389,413.9189103,421.0378182,2497.546962,142.8426956,115.1959876,228.8863388,55.85831123,-1.164637606,0.260040642,-1.99305053,2.281668323,130.9428856,24.14025301,0.201686837,324.94428,0.110440733,197.1040464,121.3831014,5,5,5,5,5,5,300,45,15,24.97546997,4.021798542,0.62865987,0,20.66751093,0.19764021,0.001998247,0,0.526491446,66.99784572,24.72081857,250,0,34.42762722,0,2.993806504,2.676522286,2.756439665,73.2091035,1.533616752,3,3,5
9.24759464,-14.04851376,0.478980243,-0.082257445,32.74102141,50,60,2,34.26642167,22.46716843,41.00703052,62.32338095,51.38545118,50.55836328,25.12877597,74.25656589,76.587138,30.85078043,43.11557449,312.7012556,166.2495246,153.5784749,-2.680223673,-0.460356684,19.56390949,0,19.82801473,1897.355026,21.47316608,1962.947135,8.778459662,255.1256084,7.698263074,18.57044437,7.347588907,3.72710396,5.449784562,32.79774604,23.79335269,45,50,27.43395728,137.3166489,0.043528832,0.007683581,607.8974062,608.417663,48.43096826,65.29489513,63.03669743,53.10333437,8.585764139,1.540434775,0.037247085,39.74877503,70.50772072,103.927129,13.36790151,19.02797554,31.39008397,26.4005271,35.06788968,15.65783221,0.02069582,0.005019252,50,60,0,143.3237626,143.9029706,143.7861378,141.846535,145.3237619,143.9544551,144.9534648,144.9534657,143.5792079,0,805.6737617,800.2748335,806.3069639,820.3375226,798.7084725,793.7094612,799.2083728,799.6082939,803.77413,0,60.1633663,60.15643552,60.16831683,60.15643545,60.16435631,60.16633663,60.1633663,60.16336619,60.15940577,0,100.9455446,100.529703,101.1534653,102.8861386,100.2178218,99.49009901,100.2524752,100.4257426,100.7722772,19.22918537,19.89093442,20.9345706,19.12372215,19.93720209,19.85899096,17.1244368,17.53081884,18.33022476,20.16925663,4.776892997,6287.662361,51.63884161,1808.302212,4.778625965,6287.605058,906.5693069,1241,27.03960396,60.36159183,45,55,65,80,1,74.47930999,74.00546091,102.898675,13.10882473,8081.662022,62.51103226,1041.707839,54.92852496,33.32758297,0.486979157,973.9742335,985.1655116,410.169401,408.5869715,2287.333547,138.2388501,115.5069681,228.4298218,52.16529495,-2.199442906,-0.161800687,-2.075354682,2.774207483,130.8880245,24.1676124,0.246808537,319.7231953,0.132070501,196.8671213,121.4848055,5,5,5,5,5,5,300,45,15,22.87333568,3.755901363,0.609429436,0,20.66909531,0,0.001992875,0,0.531146873,64.96106656,25.051711,250,0,35.43076113,0,2.982787819,2.676479543,2.755807083,73.209198,1.66242309,3,3,5
11.82845271,-15.53663975,0.495554507,-0.116475269,35.36520688,50,60,2,27.2911796,24.29423927,41.31973116,57.03397181,51.54459442,48.9063354,9.332026925,79.73720558,87.76872488,19.39158747,31.13297005,312.4057475,166.4044415,153.542377,-7.903877787,-5.96415854,20.9039524,0,20.70172858,1527.756467,22.37867982,1588.904505,8.684600679,698.1392357,7.783528946,19.39681593,15.60095231,3.649741024,5.468715587,34.60544295,29.60133908,45,50,27.37880882,137.3417164,0.040853043,0.00770077,580.5934926,580.1057498,47.93729359,64.44134329,62.99730543,53.23422275,8.646427759,3.049413274,0.046845473,39.57146431,65.4891069,103.0336644,13.35084989,19.02323143,31.86007147,26.00130738,40.70732829,16.38634573,0.03190892,0.042938669,50,60,0,142.5376236,142.8326735,142.8623761,141.2564362,144.5326727,142.7297026,144.258415,144.4891089,143.2811881,0,792.5097046,787.0107942,792.4097242,805.3738216,786.9441371,782.2783983,786.9441335,788.8770885,792.4430488,0,56.57821682,56.5841574,56.58217727,56.57326636,56.5722762,56.57920683,56.58118707,56.57326628,56.57425637,0,93.5990099,92.83663366,93.5990099,94.98514851,92.90594059,92.31683168,93.14851485,93.28712871,93.4950495,20.18712614,20.82835554,22.41860918,19.95585961,21.03963986,20.96207339,17.71481497,18.72525451,19.43799831,21.01510926,4.492249678,5918.728071,52.0704845,1779.768529,4.498233054,5918.724493,840.1039604,1241,35.3960396,56.81978698,45,55,65,80,1,74.20872309,74.15586604,98.4741705,13.18875601,7734.161466,59.20363262,1355.771395,57.99439481,32.67440101,0.481873962,1284.024642,1293.338514,410.5614748,409.148866,2269.32069,133.569972,115.5328958,229.7287513,49.33635817,-2.209172728,-0.16107732,-2.081575021,2.768087359,130.8318725,24.15070978,0.225178767,320.6720403,0.104854236,191.308128,119.6080288,5,5,5,5,5,5,300,45,15,22.69320699,3.552217878,0.60989498,0,20.66927434,0,0.002019733,0,0.531934713,64.78344436,24.12306351,250,0,0.471701413,0,3.025757395,2.676655066,2.756189833,73.18981775,1.768441906,3,3,5
