前点偏差X均值,前点偏差Y均值,前盾俯仰角均值,前盾滚动角均值,主液压油箱温度均值,液压油箱温度预警设置均值,液压油箱温度报警设置均值,温度误差设置均值,左侧护盾压力均值,右侧护盾压力均值,顶护盾压力均值,左侧楔形油缸压力均值,右侧楔形油缸压力均值,左侧扭矩油缸伸出压力均值,左侧扭矩油缸回收压力均值,右侧扭矩油缸伸出压力均值,右侧扭矩油缸回收压力均值,左侧后支撑压力均值,右侧后支撑压力均值,撑靴压力均值,左侧护盾位移均值,右侧护盾位移均值,左侧扭矩油缸位移均值,右侧扭矩油缸位移均值,内循环水罐温度均值,内循环水罐液位均值,冷水箱温度均值,冷水箱液位均值,热水箱温度均值,热水箱液位均值,刀盘喷水压力均值,污水箱压力检测均值,TBM外水进水温度均值,TBM主冷却器进水温度均值,暖水泵压力均值,冷水泵压力均值,内水泵压力均值,变频器1温度均值,变频器2温度均值,暖水箱自动排水温度设置均值,二次风机频率设置均值,齿轮油温度均值,EP2泵 出口压力检测均值,EP2 内密封压力均值,EP2 外密封压力均值,齿轮润滑油箱压力液位1均值,齿轮润滑油箱压力液位2均值,泵1润滑压力均值,泵2润滑压力均值,泵3润滑压力均值,泵4润滑压力均值,齿轮密封压力均值,齿轮回油泵出口压力均值,主驱动加压压力均值,润滑泵电机电流均值,外密封腔流量均值,外密封流量均值,齿轮润滑流量1均值,齿轮润滑流量2均值,前部小齿轮轴承润滑流量1均值,前部小齿轮轴承润滑流量2均值,后部小齿轮轴承润滑流量1均值,后部小齿轮轴承润滑流量2均值,齿轮密封外密封压力均值,齿轮密封内密封压力均值,齿轮油温度预警设置均值,齿轮油温度报警设置均值,主驱动1#电机电流均值,主驱动2#电机电流均值,主驱动3#电机电流均值,主驱动4#电机电流均值,主驱动5#电机电流均值,主驱动6#电机电流均值,主驱动7#电机电流均值,主驱动8#电机电流均值,主驱动9#电机电流均值,主驱动10#电机电流均值,主驱动1#电机扭矩均值,主驱动2#电机扭矩均值,主驱动3#电机扭矩均值,主驱动4#电机扭矩均值,主驱动5#电机扭矩均值,主驱动6#电机扭矩均值,主驱动7#电机扭矩均值,主驱动8#电机扭矩均值,主驱动9#电机扭矩均值,主驱动10#电机扭矩均值,主驱动1#电机输出频率均值,主驱动2#电机输出频率均值,主驱动3#电机输出频率均值,主驱动4#电机输出频率均值,主驱动5#电机输出频率均值,主驱动6#电机输出频率均值,主驱动7#电机输出频率均值,主驱动8#电机输出频率均值,主驱动9#电机输出频率均值,主驱动10#电机输出频率均值,主驱动1#电机输出功率均值,主驱动2#电机输出功率均值,主驱动3#电机输出功率均值,主驱动4#电机输出功率均值,主驱动5#电机输出功率均值,主驱动6#电机输出功率均值,主驱动7#电机输出功率均值,主驱动8#电机输出功率均值,主驱动9#电机输出功率均值,主驱动10#电机输出功率均值,减速机1#温度均值,减速机2#温度均值,减速机3#温度均值,减速机4#温度均值,减速机5#温度均值,减速机6#温度均值,减速机7#温度均值,减速机8#温度均值,减速机9#温度均值,减速机10#温度均值,刀盘转速均值,刀盘转速电位器设定值均值,刀盘刹车压力均值,刀盘扭矩均值,刀盘给定转速显示值均值,刀盘速度给定均值,刀盘功率均值,刀盘运行时间均值,刀盘运行时间.1均值,给定频率均值,变频柜回水温度报警值均值,变频柜回水温度停机值均值,减速机温度报警值均值,减速机温度停机值均值,刀盘最低转速设置均值,左撑靴小腔压力均值,右撑靴小腔压力均值,推进压力均值,贯入度均值,总推进力均值,推进速度均值,推进位移均值,推进泵电机电流均值,撑靴泵电机电流均值,换步泵电机电流均值,左推进油缸行程检测均值,右推进油缸行程检测均值,左撑靴油缸行程检测均值,右撑靴油缸行程检测均值,推进速度电位器设定值均值,推进泵压力均值,控制油路2压力检测均值,辅助系统压力检测均值,推进速度给定百分比均值,左撑靴俯仰角均值,左撑靴滚动角均值,右撑靴俯仰角均值,右撑靴滚动角均值,控制泵压力均值,控制油路1 压力均值,换步泵1 压力均值,撑靴泵压力均值,换步泵2 压力均值,钢拱架泵压力均值,主机皮带机泵压力均值,左倾最大滚动角设置均值,右倾最大滚动角设置均值,左撑靴最大滚动角设置均值,左撑靴最大俯仰角设置均值,右撑靴最大滚动角设置均值,右撑靴最大俯仰角设置均值,撑靴压力设定均值,推进位移最大允许偏差设置均值,贯入度设置均值,推进给定速度百分比均值,推进速度.1均值,刀盘CH4气体浓度均值,刀盘H2S浓度均值,控制室O2浓度均值,控制室CO浓度均值,控制室CO2浓度均值,设备桥CH4浓度均值,拖车尾部CH4浓度均值,左拖拉油缸压力均值,右拖拉油缸压力均值,拖拉油缸最大允许压力设置均值,拖拉油缸最小允许压力设置均值,机械手泵1 电机电流均值,机械手泵2 电机电流均值,主机皮带机转速均值,桥架皮带机转速均值,转渣皮带机转速均值,主机皮带机泵电机电流均值,主皮带机转速电位器设定值均值,桥架皮带机转速电位器设定值均值,转渣皮带机转速电位器设定值均值,稳定段刀盘转速均值,稳定段推进速度均值,稳定段刀盘扭矩均值,稳定段总推进力均值
4.791446209,-12.77615738,0.397000045,0.012999989,31.3329476,50,60,2,10.75231489,34.16184451,41.9767554,72.04764709,103.8040131,56.41010831,5.288869588,34.17920532,11.76263498,28.47511584,44.58381513,309.1116903,163.0573639,160.4179331,6.97699585,-0.36947581,23.46583227,0,26.87789364,1724.6,29.07226556,1770.474532,8.712905184,634.6492737,8.170693429,23.09522095,15.92733409,3.654938269,5.461901983,32.85361214,29.64144478,45,50,25.71385498,190.4210068,0.035667438,0,543.0550283,558.6191294,48.19174334,63.66030083,63.08895073,54.49592476,8.52105039,0.500424381,0.059863823,38.88046227,84.28799782,102.7840014,13.22887815,19.05104179,34.48298677,27.37679545,27.9036466,23.62922583,0.009027778,0.000250772,50,60,0,114.1033328,114.3266663,114.1666662,113.376667,115.3766663,114.0066668,114.4999995,114.4966667,114.2566668,0,500.7485962,498.1679942,500.4120026,511.9686066,497.1581991,492.2213989,494.8019999,495.4751973,499.0655935,0,74.16666412,74.16666412,74.17333069,74.16666412,74.16999741,74.16999741,74.17333069,74.17333069,74.16999741,0,77.46666667,77.35,77.46666667,79.45,76.65,76.53333333,76.3,76.76666667,77.35,25.41919854,24.03235919,26.91972942,26.15909526,26.24288712,21.61494509,21.41312154,22.62454224,23.31259658,23.73022779,5.889068874,7740.234473,50.71433805,1122.593119,5.882587083,7740.246533,694.8666667,1238,32.8,74.30636495,45,55,65,80,1,72.39872767,76.10484263,168.2132523,5.922265323,13211.46898,35.31448975,139.7609243,57.29958878,34.34030469,0.486979157,97.2239563,113.3262034,435.0287476,423.5063395,1693.805469,202.4787821,115.3930356,230.0829478,29.42874056,-1.546754424,0.338638067,-1.974742023,1.273775037,130.829954,24.16329142,0.251253856,319.8789541,0.085358798,196.6169937,114.5900851,5,5,5,5,5,5,300,45,15,16.93805478,2.118869332,0.597752704,0,20.66686554,0.665569552,0.00200135,0,0.52408855,74.54427083,23.13898538,250,0,36.66361249,0,3.145048928,2.677648505,2.756737661,70.75775604,1.865046291,3,3,5.874543332,58.58161428,2496.354045,16431.86978
10.78311253,-24.23548126,0.361000031,-0.122000024,35.18217087,50,60,2,11.59047035,72.06356125,40.06606852,68.88695908,88.4548612,65.83140475,5.871913497,20.63078702,0,0,12.64853373,311.5697347,163.0759308,159.4284119,6.647988383,-1.178594971,28.45196686,0,28.6137633,1603.023291,29.98456879,1661.657031,8.747395802,564.7792501,8.753616651,25.68154405,16,3.60619216,5.526890405,23.12499968,19.67761358,45,50,25.27283471,189.3841639,0.004822531,3.86E-05,688.1375387,687.0510356,55.931906,68.33851776,63.51453972,63.85959193,7.716652187,2.535918226,0.000979396,41.52328517,107.3279961,86.40000153,13.25578766,19.05147603,30.50225735,25.01632029,27.8184899,15.41672544,0,0,50,60,0,88.14666646,87.81666692,88.39999975,88.7899999,89.18666662,86.70666682,88.50666682,88.4200002,88.81999995,0,235.9565989,234.1614014,235.7322006,236.2932002,233.6004003,230.0099996,232.0296,231.4686025,231.3564021,0,72.70666402,72.70666402,72.70333049,72.70333049,72.69999695,72.70666402,72.70666402,72.70666402,72.7133311,0,36.05,35.23333333,35.7,35.81666667,35.35,34.65,35,35.11666667,35.11666667,26.3790027,23.4734279,26.14872684,26.14667746,25.39520626,27.80550721,21.70524673,21.89694246,22.80442251,25.54796047,5.772880236,7582.441113,49.59172465,525.3043294,5.762655067,7582.417008,317.8,1238,41,72.79143194,45,55,65,80,1,26.61988818,35.84104894,114.3359365,2.641726859,8979.944548,15.25021973,345.9919922,54.47464231,35.46417948,0.477430552,297.8295715,318.9662435,434.3206156,425.8500305,388.3704692,147.3172251,114.9889084,229.9951777,12.70851604,-1.560161058,0.333622662,-1.863498267,1.223837694,130.9842784,24.12374668,0.182773922,320.3592763,0.077642748,197.3210831,114.8288002,5,5,5,5,5,5,300,45,15,3.883704662,0.915013167,0.62897859,0,20.65336227,0.832971659,0.001989294,0,0.523606298,70.59027735,21.93190587,250,0,38.99212112,0,3.147303303,2.680140853,2.757334272,70.73610687,1.744997859,3,3,5.764513757,39.51397027,1611.956617,14749.74391
-5.965135749,-24.1426075,0.316000044,0.036399991,37.83371938,50,60,2,13.11149683,55.80873807,40.81356125,57.26032104,84.29590988,65.12635053,6.988811684,26.64255377,27.55208346,0,7.292148908,314.2288788,163.2329035,156.8712616,5.067312622,-7.491780599,26.93696963,0,27.0803189,1982.182296,28.13778038,2069.603617,8.797048632,418.7138306,8.243393103,24.5072581,16,3.68993055,5.481462177,28.45968367,19.25323105,45,50,27.21715895,186.5147568,0.03119213,0.002739198,617.4737213,593.5925222,51.38599574,68.88478953,63.2256705,57.8267259,7.863136578,0.528414356,0.032302336,40.62932574,115.1999954,92.48000361,13.72656317,19.04383698,32.84791718,27.38541813,38.2220492,16.35503546,0.018460648,0,50,60,0,103.1166672,103.3333333,103.5199997,103.4333333,104.9166669,103.0566668,104.3866669,104.4600004,104.4066668,0,392.8121979,393.3732025,393.0365987,396.7392019,391.6902028,386.416803,390.6804006,388.5486013,392.3633972,0,67.58666534,67.58666534,67.59666519,67.58666534,67.58666534,67.59333191,67.57999878,67.59333191,67.57999878,0,55.65,55.65,55.18333333,56.35,55.18333333,54.6,55.06666667,54.6,55.53333333,24.71486772,24.74368261,25.89277134,22.90111396,23.91264,25.49961427,21.32993329,22.15627416,24.3402778,24.58839715,5.366440423,7051.21543,46.92078997,881.8871033,5.358923419,7051.21543,498.05,1239,5.5,67.69166565,45,55,65,80,1,56.6902963,55.97173958,137.6456413,4.211354073,10810.68877,22.59975586,1521.182967,55.33839862,35.28593826,0.477430552,1447.453353,1473.719377,437.2924947,425.309963,888.4066386,171.5620183,114.6749616,229.3508876,18.8331296,-1.565417647,0.318588463,-1.850405089,1.231372976,130.7899277,24.14737714,0.183738429,320.993926,0.085358797,197.1113032,112.4238047,5,5,5,5,5,5,300,45,15,8.884066423,1.355985322,0.638141392,0,20.66165129,0,0.00200135,0,0.521677285,69.25347239,22.48070978,250,0,38.7105484,0,3.20591317,2.679080288,2.757614573,70.73610687,1.489384385,3,3,5.977007218,51.80411859,2036.8685,13811.34284
3.698000669,-16.88222885,0.334000021,0.138999999,38.57590624,50,60,2,12.65142749,69.26504695,41.07301292,56.40817909,81.83304469,72.54918976,6.89525458,60.21846021,102.9055753,0,6.171392759,319.4511943,163.283963,156.5560516,3.652579244,-11.72050883,27.92426205,0,27.98828131,1897.334778,29.49990374,1979.514856,8.715624968,633.4424459,8.372637049,25.16312288,16,3.664506157,5.491647355,33.82414627,27.87748343,45,50,27.08248927,184.5109955,0.022415123,0.002006173,575.231424,556.8019053,47.90721448,63.87635015,62.96706238,54.21826808,8.534312375,2.264043232,0.066139382,38.84513474,109.4399961,99.16800156,13.16024383,19.04809062,31.20347322,25.19473483,35.63836848,18.75364679,0.008449074,0.001890432,50,60,0,97.84333318,98.12666728,98.28000005,98.23666738,99.35666733,98.36333338,98.70000051,98.90333405,98.76999944,0,353.8788005,352.7568014,353.0934011,357.8058024,352.4202006,349.278599,351.5226034,349.5029978,352.0835988,0,71.99666672,72,72,72,72,72,72.00333328,72,72.00333328,0,53.2,53.08333333,52.96666667,54.13333333,53.2,52.61666667,52.61666667,52.38333333,52.85,25.5387977,26.39142062,27.86663297,24.33497283,25.59510034,26.47653796,22.57559299,23.81076387,27.19111703,26.19417896,5.716829618,7510.694124,50.33644371,793.4570516,5.708127117,7510.706152,476.8166667,1239,18,72.10266088,45,55,65,80,1,69.09818624,68.15972239,130.9842786,3.477552378,10287.50531,19.88051758,1706.838403,54.62463964,34.72543449,0.477430552,1629.130847,1654.762972,437.7177734,425.8920614,1181.580351,164.5563273,115.2922434,230.1760208,16.56709773,-1.593713856,0.318564415,-1.858048805,1.221571128,130.6225871,24.12229964,0.189043213,324.4102071,0.086805557,197.0100316,108.7842382,5,5,5,5,5,5,300,45,15,11.81580353,1.192831031,0.661892354,0,20.65125237,0.388093177,0.002007378,0,0.524088552,69.21006953,22.33410498,250,0,39.50830371,0,3.299853841,2.678951494,2.757041947,70.74311167,1.593127886,3,3,5.706169912,49.27100576,1988.307174,12630.20983
3.698007107,-16.88222885,0.334000021,0.138999999,31.90309168,50,60,2,14.07407408,63.77073682,41.00935567,56.32860743,76.88995005,48.35744603,6.886091868,66.85812124,66.73273621,29.53848394,43.24315211,311.1598185,163.3789063,156.5961385,1.781629944,-15.01762238,29.28108133,0,29.28180485,1830.265609,30.8534675,1909.039132,8.775964514,763.0805033,8.518759282,26.11786283,16,3.63912038,5.486168973,34.5822478,30.58232053,45,50,26.69343243,188.0521784,0.027334105,0.001195988,686.2409485,673.4601593,47.43962262,62.97212486,63.01082637,54.18740349,8.266420698,0.735455249,0.005461154,38.84626961,70.39999772,97.28000081,13.52476931,19.053733,32.55859432,25.95526714,43.21102511,12.94832236,0.005671296,0.00943287,50,60,0,87.1799998,87.11999995,87.42666702,88.05666631,88.04666672,86.45666733,87.51000036,87.90333354,87.81000061,0,229.0001994,227.5416011,228.6635981,230.9075989,226.8684001,223.0535995,225.746402,226.8684001,226.7562007,0,73.92000122,73.91666794,73.90333481,73.90333481,73.91333466,73.91333466,73.92000122,73.92000122,73.91666794,0,35,35.23333333,34.76666667,35.35,35.23333333,34.53333333,35,35.23333333,35,26.61747665,27.35038122,28.81920344,25.47731005,26.64882285,26.57214527,23.69719346,24.82421881,28.67091052,26.97012444,5.868807268,7706.512858,50.35387739,511.2722473,5.856940508,7706.512858,315.35,1239,26,73.9824056,45,55,65,80,1,73.4317131,75.31105296,90.42197138,2.955427217,7101.741715,17.34492188,72.46366272,54.25083071,35.48231735,0.486979157,47.92693787,29.81707967,435.4734965,424.3415324,446.8195526,123.6858594,115.4745377,229.0731074,14.45410118,-1.481409129,0.356770881,-2.291582266,1.046862936,130.8434586,24.15509275,0.221836419,320.923997,0.134548613,197.1648315,108.2851079,5,5,5,5,5,5,300,45,15,4.46819555,1.04069529,0.651644476,0,20.63648326,1.441936755,0.002019435,0,0.524570803,69.3417244,22.05102228,250,0,43.48590279,0,3.295300643,2.678913577,2.756558688,70.75521088,1.886671734,3,3,5.855230482,47.56826994,1927.505298,10619.77334
-5.723589269,-10.32800649,0.424900055,-0.050000016,36.8709006,50,60,2,40.69347979,28.8064237,41.91261559,53.55227648,59.33979556,70.14226481,6.066743787,36.19116491,45.20447553,0,14.49411656,312.8346863,166.2462031,152.1797826,-9.380891927,-9.697504425,30.38146248,0,30.45211233,1509.591927,31.89658114,1550.315145,8.701620324,548.879366,8.537567743,27.11648871,12.23863818,3.565200631,5.518537792,31.73357951,26.0510704,45,50,27.48565292,191.4559219,0.039371142,0.000675154,630.823761,628.4591777,49.63425941,67.15748062,63.10426318,55.60522741,8.424237982,0.734818671,0.012094545,40.2764094,72.383997,100.8000031,13.66944507,19.00156282,35.06371587,25.36753604,38.32204889,17.14508168,0.001118827,0.003896605,50,60,0,86.91000036,86.94333344,87.42333399,88.13000005,87.77666651,86.31999969,87.61666616,87.81666667,87.41333313,0,210.8238002,211.4969986,212.1701998,212.9556005,209.7018021,207.6822027,207.2334007,208.8042015,207.4578008,0,71.38333511,71.40333481,71.40333481,71.39333496,71.38333511,71.39000168,71.39333496,71.39666824,71.39333496,0,31.85,31.61666667,31.38333333,31.61666667,31.15,30.91666667,30.56666667,31.38333333,30.8,28.03614457,28.13621286,29.7092013,26.7967542,28.39108308,28.14163774,25.16276035,24.74199435,26.0085118,28.19806112,5.668660355,7443.202702,46.32313385,471.7860118,5.656833919,7443.202702,280.7,1240,20.36666667,71.45474472,45,55,65,80,1,44.94743423,50.94569778,77.71894315,2.962505245,6104.045801,16.79375,383.3582682,52.18102544,32.95512085,0.486342583,343.8499227,344.8856181,419.5933899,425.3683777,487.7266561,110.9876554,115.0718562,228.3463537,13.99479121,-1.142722853,0.459936794,-1.994538466,1.890118615,130.8989207,24.19560191,0.206886576,321.6300161,0.107060186,197.0399323,111.2538587,5,5,5,5,5,5,300,45,15,4.877266582,1.007624968,0.624879438,0,20.66707649,1.043716256,0.002013407,0,0.524811929,70.88782832,22.21981093,250,0,37.81700656,0,3.240120808,2.677769717,2.756815243,70.75457408,1.931828749,3,3,5.987197036,61.21215095,2064.788896,9975.061214
0.104679149,-12.73371369,0.433000058,-0.017300014,38.96773694,50,60,2,61.14679794,29.03163598,41.9926698,53.27353439,58.88937047,73.46113002,43.12644666,104.0895068,143.8662226,0,10.40027002,323.8700806,165.6955297,152.3278982,-19.8470576,-20.19721883,24.98541215,0,26.83605792,1965.837557,28.90395947,2034.619987,8.785879676,524.8269877,8.029393069,23.53527679,14.28809799,3.687249223,5.451446756,33.36769371,31.02924881,45,50,27.77343744,191.4105911,0.048842593,0.000540123,568.7616648,582.7904297,44.90451368,60.25245883,62.90665957,50.2035113,9.15762434,0.58140432,0.049823434,37.61657486,74.36799774,111.6800011,13.12945658,19.02473958,33.98567778,24.37847328,36.36579946,18.10335722,0.013290895,0.020119599,50,60,0,117.1199999,117.6666669,117.1899999,116.6166664,118.2566668,117.8100001,117.703333,117.9600004,117.4233335,0,533.2866038,530.3694,532.2768046,545.9652018,528.6863963,529.2473969,527.3399953,530.1450033,533.5109945,0,70.96000061,70.96666718,70.95000076,70.94666748,70.96666718,70.95333405,70.95333405,70.96333389,70.96333389,0,78.98333333,78.4,78.86666667,80.73333333,78.4,78.28333333,78.4,78.75,79.1,25.00602837,25.88348802,27.11455943,24.93091717,25.26535988,24.83736025,21.68728275,15.59642646,18.19275653,26.53621705,5.634018278,7409.071191,50.15552622,1197.97335,5.63089385,7409.071191,709.8,1240,44.8,71.12708003,45,55,65,80,1,66.39371236,67.30227712,101.1178635,7.657801994,7941.797103,43.14179688,1488.642887,54.25130081,32.67534637,0.485706009,1424.042008,1426.232182,417.9004415,431.0200704,1869.707235,135.9866895,115.6819051,229.7005203,35.95149701,-1.204318579,0.485652987,-1.972873251,1.892493725,130.7576167,24.15027033,0.198688274,323.7842428,0.098861884,197.1677256,115.0072355,5,5,5,5,5,5,300,45,15,18.69707254,2.588507752,0.658878279,0,20.66228409,1.330837699,0.002097801,0,0.525776424,70.9027771,23.13078728,250,0,36.59906565,0,3.151234349,2.677307606,2.75701801,70.92262929,1.648954773,3,3,5.626569044,62.74031656,1892.011141,8783.503466
1.874874266,-11.59342909,0.451000035,-0.014000013,34.21248067,50,60,2,40.08873482,29.54282411,41.00356865,53.22868487,57.49566015,50.07908923,4.830246925,25.42100709,11.86149696,0.89843751,14.58863799,311.3536845,166.0280436,152.1607961,1.006989543,0.994353231,22.0454766,0,22.1777345,1951.736125,23.26400897,2029.594206,8.80567131,456.6828237,8.02613767,20.92737198,16,3.710898908,5.477526983,20.80608597,17.81503175,45,50,27.87941221,190.110434,0.034104938,0.002777778,680.0503438,648.8044474,52.3126929,69.06406733,63.28510844,58.58928922,8.161410093,3.07947527,0.00183009,41.51874924,101.1839968,96,13.4594334,18.99461803,34.29097315,25.38049946,39.75173677,15.64317195,0.006886574,0.010706019,50,60,0,121.450001,121.9833336,121.8900007,121.0866669,123.2466665,120.7833341,122.1599993,122.2333333,121.8999992,0,566.834404,565.3758026,567.5075933,578.0544062,563.8050064,552.8093918,559.2047979,560.7756022,565.0392029,0,63.54333267,63.56333237,63.53666611,63.53333282,63.54333267,63.54999924,63.54999936,63.54999924,63.54999936,0,75.13333333,74.43333333,75.13333333,76.88333333,75.01666667,73.38333333,74.08333333,74.2,74.9,21.46050345,21.03515606,22.30613422,19.93827127,21.22106501,21.14052868,18.04759878,13.21433738,15.81705732,21.36598199,5.045634985,6639.68457,47.04875565,1270.434921,5.0462152,6639.68457,673.05,1240,54,63.74166565,45,55,65,80,1,62.43393122,70.30333735,98.68537725,9.352113088,7750.749609,47.22073975,115.0113566,54.08202896,32.66579819,0.477430552,80.71505636,85.71031392,413.2673716,419.9052389,1780.996794,132.0659737,115.0713735,228.4047084,39.35061601,-1.061740494,0.262743505,-1.952377494,2.295994902,131.042631,24.16377347,0.204475309,320.7397807,0.126350309,196.9251546,111.0373263,5,5,5,5,5,5,300,45,15,17.80996787,2.833244316,0.637779701,0,20.66737785,0.332754636,0.001995322,0,0.524329674,66.2683253,23.66849944,250,0,35.29174805,0,3.234068743,2.677686373,2.757733917,70.98309784,1.533579306,3,3,5.310785733,66.94265596,2011.480956,8519.70546
7.95530839,-14.64843435,0.478000045,-0.086000018,32.45527102,50,60,2,35.50588328,22.72424755,41.05227623,62.80815926,51.69704857,41.02382329,13.4003664,70.42679316,67.76620331,32.54436709,44.94068324,311.2032216,166.1031535,153.4904277,-2.173914083,-0.021658834,19.33292344,0,19.73910109,1949.032666,21.4606245,2018.662956,8.801736164,217.4967489,7.682412291,18.45944239,11.27833726,3.737056335,5.500270049,27.97996209,18.38240274,45,50,27.31626186,136.5412811,0.050115741,0.008429784,666.4895671,668.8979268,47.92226079,64.55958188,63.01263542,53.16719653,8.494526418,5.428452921,0.021396062,38.84999847,95.74399719,103.4240011,13.18680623,19.05208359,35.78480924,24.3488437,29.94322968,24.20301046,0.008699846,0,50,60,0,114.026667,113.8233337,114.4666667,114.5866671,115.5799995,114.0933337,115.2366659,115.6566668,115.5266678,0,373.4016017,374.4114014,374.5235987,379.0115987,374.7480011,371.4942042,371.0454041,370.3722031,372.8406001,0,56.75666695,56.75333366,56.74666684,56.74666697,56.75000013,56.75,56.74666684,56.75000025,56.75333354,0,44.21666667,44.1,44.21666667,44.56666667,44.21666667,43.86666667,43.98333333,43.75,43.98333333,19.20235373,19.85640869,20.62837569,19.12989508,19.81939634,19.61070131,17.14650879,17.46780961,18.26810862,20.24341691,4.505979522,5923.165007,50.07465312,840.6328491,4.501605209,5923.116781,396.4333333,1241,25.56666667,56.86238213,45,55,65,80,1,74.40972214,75.5758105,85.51552823,8.107305773,6716.389648,36.41699219,955.0665039,52.87973696,32.66579819,0.486979157,889.9878988,900.3513672,409.515626,407.8506592,1545.560842,118.8879242,115.405574,228.945312,30.34749301,-2.166799299,-0.170801989,-2.05574851,2.78663915,130.7031235,24.1671491,0.23871528,320.0414734,0.117669753,196.8581192,110.7499039,5,5,5,5,5,5,300,45,15,15.45560859,2.185019477,0.61945409,0,20.66891479,0.100971742,0.00200135,0,0.530960655,64.03404681,23.12307097,250,0,41.80701905,0,3.218821343,2.677572719,2.756373795,70.75521088,1.66313653,3,3,4.776892997,62.51103226,1808.302212,8081.662022
11.90630951,-14.55014286,0.496000051,-0.104000024,35.15263341,50,60,2,27.55063616,24.20138874,41.00115751,58.00299009,51.59625753,51.17718023,13.9602622,86.53983459,94.27903163,20.85262356,32.60898895,311.4829254,166.2415604,153.4988653,-8.162670898,-6.099278005,20.69034538,0,20.57110831,1569.364815,22.19509506,1637.073222,8.626427428,712.1063538,7.771387911,19.2674572,15.85648152,3.65098381,5.497395833,33.69574649,27.35628827,45,50,27.08417695,135.592689,0.042457561,0.008140432,721.4579081,706.3782186,47.68364169,64.00752373,63.05459124,52.64298757,8.669222705,4.437500026,0,38.85032272,95.67999684,104.7679993,13.30787086,19.03463561,31.45998313,26.15885531,34.31519127,20.08512808,0.022183642,0.031442901,50,60,0,110.5966665,110.4133334,111.1066671,111.3099996,112.1666662,111.1533338,112.0766663,112.1933332,112.1766668,0,323.4726008,325.6044017,322.2384033,325.4922002,323.921401,322.2383998,323.1360001,322.5749995,323.8092036,0,56.70333405,56.70333405,56.70000064,56.70000076,56.70666733,56.70000076,56.70000076,56.71333389,56.71000061,0,38.15,38.5,37.91666667,38.5,38.15,37.91666667,37.91666667,37.91666667,38.15,19.86846536,20.57339948,22.00725778,19.85616748,20.84165217,20.39749699,17.64069792,18.53949661,19.12037029,20.89530277,4.502303791,5917.281527,50.8663194,728.2921366,4.497133795,5917.281527,343.35,1241,33.1,56.80590108,45,55,65,80,1,72.69531275,72.66734263,71.15258484,6.611299006,5588.324056,29.76572266,1246.043864,52.52191887,32.6750281,0.47965856,1175.906331,1186.37391,410.3098328,408.8426453,1268.132729,104.0171687,115.4755028,229.5563273,24.80476789,-2.169089953,-0.158793879,-2.016734155,2.775041008,130.7928218,24.16377347,0.236786264,319.843751,0.107542439,197.2038961,111.4144485,5,5,5,5,5,5,300,45,15,12.68132741,1.785943317,0.604263117,0,20.66930656,0,0.002019435,0,0.530840091,64.18209775,22.7473959,250,0,0.471701413,0,3.207488847,2.677474252,2.756534855,70.75521088,1.768612552,3,3,4.492249678,59.20363262,1779.768529,7734.161466
