时间戳,运行时间,桩号,前点偏差X,前点偏差Y,前盾俯仰角,前盾滚动角,主液压油箱温度,液压油箱温度预警设置
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19560051,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.18836784,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.08347893,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19560051,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.17751694,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.09794426,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.18836784,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.01113892,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19198608,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.05092621,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00028801,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19560051,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.18113518,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.20645142,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19560051,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00028801,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19560051,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.08347893,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.03284073,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,28.99667358,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.01113892,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19198608,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.18836784,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19198608,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.03284073,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.11964607,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00028801,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19921875,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.01113892,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.18113518,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19198608,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.05454254,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.20645142,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.20645142,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.19198608,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.17390251,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.13411522,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.01475716,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.01113892,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.17390251,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.1015625,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.17751694,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,28.9894371,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,28.99667358,50
1.50E+12,2017/6/20 23:59,56146.875,10.70859146,0.271465033,0.430000037,-0.172998577,29.00752449,50
